,Description,UseType
301,INSPECTION OF AN EXISTING CONVIENCE STORE. CHANGE OF OWNERSHIP/OCCUPANCY IS REQUESTED BY NEW OWNER. LINDA SANDERSON (334)284-4916,Commercial
302,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
303,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
304,"REPLACEMENT OF A 36 3/4 X 102"" WALL SIGN, A 49""X 112 1'2"" CABINET ON AN FREE STANDING SIGN AND 1-22 7/8""X26 11/16"" AND (1) 15""X26 11/16"" WINDOW GRAPHICS TO AN EXISTING COMMERCIAL BUILDING. SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS ""NRTL"".  TO MEET ALL APPLICABLE CODES.",Commercial
305,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
306,"INSTALL A 8'9""X19'4"" FREE STANDING 2 FACES SIGN TO AN EXISTING COMMERCIAL PROPERTY.  NO PART OF ANY SIGN SHALL BE CLOSER TO THE STREET PROPERTY LINES THAN 10' AND SHALL NOT EXCEED 45' IN HEIGHT. TO MEET ALL APPLCABLE CODES.",Commercial
307,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
308,ERECT A 63’ X 53’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2299 SF (LIVING AREA-1ST FL); 716 SF (GARAGE); 371 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH/1 HALF BATH),Residential
309,REPAIR TERMITE DAMAGE,Residential
310,ALTERATIONS TO EXISTING COMMERCIAL BUILDING. TO COMPLETE TENANT BUILDOUT. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPTED ON JOB SITE AT ALL TIMES. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. SHALL MEET ALL APPLICABLE CODES.,Commercial
311,ALTERATIONS TO EXISTING TWO STORY COMMERCIAL BUILDING TO BE USED AS HOTEL WITH 64 UNITS. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. TO MEET ALL APPLICABLE CODES.,Commercial
312,LIQUOR LICENSE/CERTIFICATE OF OCCUPANCY TO BE USED AS A GROCERY STORE.  MIKE HRYNIW 233-0715,Commercial
313,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
314,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
315,"TO INSTALL (1) 37.5”X37.5” WALL SIGN WITH (1) ONE FACE UL LISTED LED CABINET (INDIVIDUAL CHANNEL LETTER/LOGO); 9.77 TOTAL SQUARE FEET, 37.5” TOTAL HEIGHT; ILLUMINATED & UL# G-53071607; SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS “NRTL”. ALL APPLICABLE DEPARTMENT INSPECTON AS REQUIRED; TO MEET ALL APPLICABLE CODES.",Commercial
316,ENCLOSURE OF AN 15'X16' EXISTING PATIO TO THE REAR OF AN EXISTING DWELLING.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
317,ERECT AN 85.5’ X 68.67’ ONE AND ONE HALF STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 3141 SF (LIVING AREA-1ST FL); 461 SF (LIVING AREA-2ND FL); 600 SF (GARAGE); 291 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH),Residential
318,GENERAL REPAIRS TO REPLACE ROOFING AND DECKING DUE TO ROTTEN WOOD AT EXISTING DWELLING. TO COMPLY WITH ALL APPLICABLE CODES. WORK TO COMPLETED WITHIN 45 DAYS.,Residential
319,ALTERATIONS TO (5) EXISTING ADA ROOMS AS PER PLANS AND SPECIFICATIONS OF A COMMERCIAL BUILDING (HOTEL).A SET OF STAMPED PLANS MUST BE KEPT ON THE JOBSITE AT ALL TIMES. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. MAINTAIN EXISTS DURING CONSTRUCTION TO MEET APPLICABLE CODES.,Commercial
320,ALTERATION TO AN EXISTING COMMERCIAL BUILDING FOR THE PURPOSE OF RETAIL.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  A SET OF PLANS WITH REVIEW LETTER MUST BE KEPT ON THE JOB SITE AT ALL TIMES.  TO MEET ALL APPLICABLE CODES.,Commercial
321,"REPLACEMENT OF AN ILLUMINATED TWO FACED 4' 7-15/16"" X 9' 1-3/16""  EXISTING READER BOARD TO AN EXISTING COMMERCIAL PROPERTY. SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABORATORY OR NRTL.  TO MEET ALL APPLICABLE CODES.",Commercial
322,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
323,INSTALL DOOR & PLATFORM IN CLASSROOM 2 AND TODDLER ROOM.  TO MEET ALL APPLICABLE CODES.,Commercial
324,CERTIFICATE OF OCCUPANCY FOR A BUSINESS TO BE USED AS A BEAUTY SHOP.,Commercial
325,"ERECT A 52'5"" X 75'04"" ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 3259 SF TOTAL, 2356 SF LIVING AREA, GARAGE 695 SF, OTHER 208 SF. PRE-FAB FIREPLACE PER CODES. BEDROOM WINDOWS, SMOKE DETECTORS PER CODES. SAN FAC REQ PER IBC. ENERGY CERT REQ.  TO MEET ALL APPLICABLE CODES. (4BR/3BATHS)",Residential
326,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
327,"INSTALL 1 30"" X 120"" SINGLE FACED WALL MOUNTED ILLUMINATED UL LISTED LED CABINET SIGN FOR FHIIT STOP.  25 TOTAL SF.  EL NUMBERS HR192867",Commercial
328,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
329,ERECT AN 81’ X 44’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2100 SF (LIVING AREA-1ST FL); 463 SF (GARAGE); 184 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH),Residential
330,ALTERATIONS TO EXISTING COMMERCIAL BUILDING. TO COMPLETE TENANT BUILDOUT. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPTED ON JOB SITE AT ALL TIMES. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. SHALL MEET ALL APPLICABLE CODES.,Commercial
331,"ERECT A 39'-6"" X 50""-10"" ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH A TOTAL SQ FT OF 1999 WITH 1525 SQ FT (LIVING AREA); 391 SQ FT (GARAGE) 83 SQ FT (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE.  SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. MUST MAINTAIN 15' BETWEEN STRUCTURES. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLCIABLE CODES. (3 BR/2 BATH)",Residential
332,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LIC TO BE USED AS AN OFFICE.  POINT OF CONTACT KEITH WARREN 334-590-9010,Commercial
333,LIQUOR LICENSE/CERTIFICATE OF OCCUPANCY TO BE USED AS A GROCERY STORE.  MIKE HRYNIW 233-0715,Commercial
334,GENERAL RENNOVATION TO AN EXISTING DWELLING.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPT. TO MEET ALL APPLICABLE CODES.,Residential
335,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
336,INSPECT FOR CERTIFICATE OF OCCUPANCY; ON THE GO CAR WASH & DETAILING - SUITE E22 (OLD SEARS BLDG); WESLEY LUCAS (334)329-4169,Commercial
337,"ALTERATIONS TO A 6,324 SQ FT EXISTING COMMERCIAL BUILDING TO BE USED AS A DIALYSIS FACILITY.  A SET OF STAMPED PLANS WITH REVIEW LETTER MUST BE KEPT ON THE JOBSITE AT ALL TIMES. MUST COMPLY WITH STATE ENERGY CODE. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.",Commercial
338,"ERECT A 48’ X 24’ TWO STORY BRICK VENEER DETACHED GARAGE WITH 420 1SF FL, 1152 SF 2ND FLOOR LIVING AREA (2BD/2BATHS) AND ALSO DETACHED GARDEN BUILDING WITH 1152 SF. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.",Residential
339,"GRADING PERMIT TO ERECT A 50'X70'-6 1/2"" ONE STORY BRICK VENEER SINGLE FAMILY DWELLING WITH A TOTAL SQ FT OF 2838, LIVING AREA 2214 SQ FT, GARAGE 438 SQ FT, OTHER 186 SQ FT. CONSTRUCTIONPROJECT IS A PRIORITY CONSTRUCTION SITE.  ADEM NPDES PERMIT NUMBER IS REQUIRED.  ADEM NPDES NUMBER ALR108799.   TO MEET ALL APPLICABLE CODES",Residential
340,RENNOVATION OF AN EXISTING DWELLING DUE TO FIRE DAMAGE. REPLACEMENT OF EXTERIOR WINDOW PER CODE. TRUE DIVIDED LITE WINDOW TO MATCH EXISTING PER HISTORIC REP CHRISTY ANDERSON.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
341,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
342,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
343,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
344,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
345,"INSPECT FOR CERTIFICATE OF OCCUPANCY; DAVID ROBERTSON PHOTOGRAPHY LLC, 847 S. PERRY ST; (334)414-4540",Commercial
346,"ERECT A 50' X 70'4"" ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2420 SF TOTAL, 1835 SF LIVING AREA, GARAGE 438 SF, OTHER 147 SF. PRE-FAB FIREPLACE PER CODES. BEDROOM WINDOWS, SMOKE DETECTORS PER CODES. MAINTAIN 10' BETWEEN STRUCTURES. MUST COMPLY WITH STATE ENERGY CODE. SAN FAC REQ PER IBC. TO MEET ALL APPLICABLE CODES. (3BR/2BATHS)",Residential
347,"REPLACE 4 SIGN FACES ON EXISTING ID SIGN SIZE 5' 8 1/2"" X 3' 6 1/2"" = 43 SQ FT & 68.5"" X 44.5"" = 43 SQ FT FOR TOTAL SQ FT 906 WITH A TOTAL HEIGHT OF 68.5""  WITH A WIND LOAD OF 145 TO MEET ALL APPLICABLE CODES.",Commercial
348,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LICENSE TO BE USED FOR A RESTAURANT.  EDITH LARA  354-8552  PABLO 626-922-9092,Commercial
349,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
350,NEW CONSTRUCTION FOR A RECREATION FIELDS. PROPERTY NOT LOCATED BY A PRIORITY SITE. NPDES PERMIT # ALR107334. TO MEET ALL APPLICABLE CODES.,Commercial
351,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
352,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
353,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
354,"ALTERATIONS TO EXISTING COMMERCIAL BUILDING. TO COMPLETE TENANT BUILDOUT. NEW INTERIOR FRAMING, ELECTRICAL, PLUMBING AND MECHANICAL. MAINTAIN EXISTS DURING CONSTRUCTION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.",Commercial
355,"REPLACEMENT OF A 36 3/4 X 102"" WALL SIGN, A 49""X 112 1'2"" CABINET ON AN FREE STANDING SIGN AND 1-22 7/8""X26 11/16"" AND (1) 15""X26 11/16"" WINDOW GRAPHICS TO AN EXISTING COMMERCIAL BUILDING. SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS ""NRTL"".  TO MEET ALL APPLICABLE CODES.",Commercial
356,"INSPECT FOR CERTIFICATE OF OCCUPANCY; A THRIFT SHOP; JESUS CARES, INC (334)549-2716;",Commercial
357,"INSTALL 72"" X 18"" SINGLE FACED 9 SF CABINET UL LISTED LED DS CABINET SIGN.  UL NUMBERS HR192864.  BOARD OF ADJUSTMENTS APPROVED AN INTERNALLY LIT BLADE SIGN BD-2018-030",Commercial
358,REMOVE EXISTING PYLON AND WALL SIGNS. REPLACE WITH ONE (1) NEW PYLON SIGNS/2 FACES AND ONE (1) NEW WALL SIGNS/8 FACES. ILLUMINATED SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS “NRTL”. WALL SIGN – 3’-3/4” x 13’-10 1/8”; PYLON SIGN-4’x10’. PROJECT TO MEET ALL APPLICABLE CODES.,Commercial
359,GENERAL REPAIRS TO REPLACE WINDOWS TO EXISTING COMMERCIAL BUILDING. TO MEET ALL APPLICABLE CODES.,Commercial
360,ERECT A 68.6’ X 40’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1674 SF (LIVING AREA-1ST FL); 471 SF (GARAGE); 178 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH),Residential
361,APARTMENT COMPLEX AND OFFICE/CLUB HOUSE TO BE INSPECTED FOR CERTIFICATE OF OCCUPANCY; STACY GIBBY/PROPERTY MANAGER (334)356-8010,Commercial
362,LIQ LIC/BUS LIC INSP FOR WESTSIDE MARKET/ CONV STOREKESHA PARKS  334-498-0789,Commercial
363,"ERECT A 39'-6"" X 50""-10"" ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH A TOTAL SQ FT OF 1999 WITH 1525 SQ FT (LIVING AREA); 391 SQ FT (GARAGE) 83 SQ FT (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE.  SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. MUST MAINTAIN 15' BETWEEN STRUCTURES. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLCIABLE CODES. (3 BR/2 BATH)",Residential
364,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
365,ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING TO INSTALL REPLACEMENT WINDOWS. BEDROOM WINDOWS PER CODE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
366,REPLACEMENT OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY WITH CODES.  TO MEET ALL APPLICABLE CODES.,Residential
367,INSPECT FOR CERTIFICATE OF OCCUPANCY (OUT PATIENCE THERAPY); AMY ANDERSON (404)989-2867,Commercial
368,"REPLACEMENT OF AN ILLUMINATED TWO FACED 4' 7-15/16"" X 9' 1-3/16""  EXISTING READER BOARD TO AN EXISTING COMMERCIAL PROPERTY. SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABORATORY OR NRTL.  TO MEET ALL APPLICABLE CODES.",Commercial
369,CERT OF OCC/BUS LIC INSP FOR K & A SUNGLASSES/ RETAIL 404-421-7986 **A KIOSK ACROSS FROM THE ICE SKATING RING,Commercial
370,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LIC TO BE USED AS AN OFFICE.  POINT OF CONTACT KEITH WARREN 334-590-9010,Commercial
371,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
372,ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING TO INSTALL REPLACEMENT WINDOWS. BEDROOM WINDOWS PER CODE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
373,ERECT A 30’X 50’ ONE AND ONE HALF STORY DETACHED GARAGE WITH 1500 SF (GARAGE). THE ACCESSORY STRUCTURE(DETACHED GARAGE) CAN NOT INCLUDE A TOILET/BATHROOM. SINK AND POWER IS APPROVED BY BOARD OF ADJUSTMENT. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
374,GRADING PERMIT FOR THE PURPOSE OF RESIDENTIAL LOTS TO BE INSTALLED FOR THE CONSTRUCTION OF SINGLE FAMILY HOUSES.  PROPERTY IS IN A PRIORITY CONSTRUCTION SITE.  NPDES # ALR10BDDD. TO MEET ALL APPLICABLE CODES.,Commercial
375,REPAIR TERMITE DAMAGE,Residential
376,LOCATE A 16'X 80' SINGLE WIDE MOBILE HOME FOR LIVING PURPOSES.  BOARD OF ADJ APPROVAL ON FILE. SEPTIC TANK ALREADY ON PROPERTY. TIE DOWN INSPECTION WILL BE REQUIRED.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DPTS.  TO MEET ALL APPLICABLE CODES.,Residential
377,ALTERATIONS TO EXISTING COMMERCIAL BUILDING. CUT 4’ OPENING AT WALL TO ADJACENT EXISTING SPACE. TO BE USED FOR STORAGE. MAINTAIN EXISTS DURING CONSTRUCTION (BY T.S.). ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES. HUI DENG WANG (334)833-2529,Commercial
378,TO INSTALL (1) 49 SF ILLUMINATED CHANNEL LETTER WALL SIGN WITH (1) ONE FACE. 36” TOTAL HEIGHT; 49 TOTAL SQUARE FEET; SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS “NRTL”. ALL APPLICABLE DEPARTMENT INSPECTON AS REQUIRED; TO MEET ALL APPLICABLE CODES.,Commercial
379,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
380,"INSTALL 72"" X 18"" SINGLE FACED 9 SF CABINET UL LISTED LED DS CABINET SIGN.  UL NUMBERS HR192864.  BOARD OF ADJUSTMENTS APPROVED AN INTERNALLY LIT BLADE SIGN BD-2018-030",Commercial
381,CUT CURB TO EXISTING DRIVEWAY OF DWELLING. TURN OUT INSPECTION WILL BE REQUIRED. TO MEET ALL APPLICABLE CODES.,Residential
382,"INSTALL 1 30"" X 120"" SINGLE FACED WALL MOUNTED ILLUMINATED UL LISTED LED CABINET SIGN FOR FHIIT STOP.  25 TOTAL SF.  EL NUMBERS HR192867",Commercial
383,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
384,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LICENSE TO BE USED AS AN OFFICE FOR ADJUSTER CLAIMS OFFICE.  PAM ANDRUS  OFFICE 337-551-4500,Commercial
385,RESIDENTIAL ADDITION TO EXISTING DWELLING. ADD 2 ROOMS TOTALING(15'x24')-(1) ONE BED ROOM AND (1) ONE FULL BATH. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
386,LIQ LIC/BUS LIC INSP FOR WESTSIDE MARKET/ CONV STOREKESHA PARKS  334-498-0789,Commercial
387,LOCATE A 14' X 70' MOBILE HOME FOR LIVING PURPOSES. TIE DOWN INSPECTION WILL BE REQUIRED. TO MEET ALL APPLICABLE CODES.,Residential
388,ERECT AN 81’ X 44’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2100 SF (LIVING AREA-1ST FL); 463 SF (GARAGE); 184 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH),Residential
389,ERECT A 56’ X 43’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1651 SF (LIVING AREA-1ST FL); 429.8 SF (GARAGE); 279.2 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH),Residential
390,CUT CURB TO CREATE DRIVEWAY TO EXISTING DWELLING. TURN OUT INSPECTION WILL BE REQUIRED. TO MEET ALL APPLICABLE CODES.,Residential
391,CERTIFICATE OF OCCUPANCY TO BE USED FOR A IT CONSULTING FIRM FOR SUITE 4050.  POINT OF CONTACT GRANITA GRIFFIN 205-862-5464,Commercial
392,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
393,CERT OF OCC/ BUS LIC INSP FOR WILLIAM R. CHANDLER/ ATTORNEY AT LAW   334-215-9500/ LAW OFFICE  **UNIT 580**/ USED FOR OFFICE USE BEFORE,Commercial
394,"ERECT A 45'-6""X 38'-8"" ONE STORY BRICK VENEER SINGLE FAMILY DWELLING WITH 1564 SQ FT LIVING AREA, AND 16 SQ FT OTHER.  BEDROOM WINDOWS, SMOKE DETECTORS, FIREPLACE MUST COMPLY TO CODES. MUST COMPLY WITH STATE ENERGY REPORT. SAN FACILITY IS REQUIRED. MUST MAINTAIN 15' BETWEEN STRUCTURES. ALL INSPECTIONS REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES. (3 BEDROOM, 2 BATHROOM)",Residential
395,GRADING PERMIT TO ERECT NEW COMMERCIAL BUILDING TO BE USED FOR OFFICE. PROPERTY IS NOT IN A PRIORITY CONSTRUCTION SITE. TO MEET ALL APPLICABLE CODES.,Commercial
396,"ALTERATIONS TO EXISTING COMMERCIAL BUILDING. TO COMPLETE TENANT BUILDOUT. NEW INTERIOR FRAMING, ELECTRICAL, PLUMBING AND MECHANICAL. MAINTAIN EXISTS DURING CONSTRUCTION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.",Commercial
397,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
398,REMOVE EXISTING PYLON AND WALL SIGNS. REPLACE WITH ONE (1) NEW PYLON SIGNS/2 FACES AND ONE (1) NEW WALL SIGNS/8 FACES. ILLUMINATED SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS “NRTL”. WALL SIGN – 3’-3/4” x 13’-10 1/8”; PYLON SIGN-4’x10’. PROJECT TO MEET ALL APPLICABLE CODES.,Commercial
399,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
400,ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING TO INSTALL REPLACEMENT WINDOWS. BEDROOM WINDOWS PER CODE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
401,"CERTIFICATE OF OCCUPANCY FOR A BUSINESS LIC TO BE USED FOR FINANCIAL ADVISORY SERVICES, INSURANCE, AND INVESTMENTS.  POINT OF CONTACT BRAD BRAITHWARTE, JR 919-592-0180",Commercial
402,DEMOLISH A DWELLING TO CLEAR LOT.  HEALTH DEPT APPROVAL ON FILE.  WATER WORKS 184186 APPROVAL ON FILE.  BOND 427713 ON FILE.  ASBESTOS 10 DAY NOTICE ON FILE.  THIS PERMIT IS GOOD FOR 30 DAYS.  BUILDING INSPECTION IS NEEDED FOR COMPLETION.  TO MEET ALL APPLICABLE CODES.,Residential
403,DEMOLISH EXISTING WOOD FRAME DWELLING TO CLEAR LOT. HEALTH DEPT APPROVAL ON FILE. WATER WORKS NO. 128515. BOND NO. 427710. ADEM APPROVAL ON FILE. FINAL INSPECTION WILL BE REQUIRED. MUST COMPLY WITH EROSION CONTROL. TO MEET ALL APPLICABLE CODES.,Residential
404,"GRADING PERMIT TO ERECT A 52'5"" X 75'04"" ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 3259 SF TOTAL, 2356 SF LIVING AREA, GARAGE 695 SF, OTHER 208 SF. PROPERTY IS NOT IN A PRIORITY CONSTRUCTION SITE. TO MEET ALL APPLICABLE CODES.",Residential
405,DEMOLISH AN EXISTING DWELLING TO CLEAR LOT. HEALTH DEPT APPROVAL ON FILE. WATER WORKS #154062 ON FLIE. BOND RECIEPT #427712 ON FILE. PERMIT IS GOOD FOR (30) THIRTY DAYS. BUILDING FINAL INSPECTION IS REQUIRED. TO MEET ALL APPLICABLE CODES.,Residential
406,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
407,RESIDENTIAL ADDITION TO EXISTING DWELLING. ADD (1) ONE FULL BATH. PRE APPROVED BY PLANNING DEPT. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
408,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
